"","id","player_fifa_api_id","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","EMC$class"
"9542",20456,193226,210146,60,75,"right","medium","low",49,64,57,52,61,59,45,46,52,53,68,71,66,63,48,57,53,62,38,59,32,43,46,50,42,22,23,18,1,23,52,23,23,2
"9543",7063,189163,155122,55,69,"right","medium","low",35,54,51,44,52,43,32,26,36,41,68,69,67,69,67,62,71,75,62,46,69,37,26,31,38,31,46,42,1,22,36,22,22,2
"9544",7064,189163,155122,54,69,"right","medium","low",35,54,51,44,52,43,32,26,36,41,68,69,67,69,67,52,71,75,62,46,60,37,26,31,38,31,33,42,1,22,36,22,22,2
"9545",7065,189163,155122,53,58,"right","medium","low",35,54,51,39,52,43,32,26,36,31,68,69,67,69,67,52,71,56,62,46,60,37,26,31,38,31,33,42,1,22,36,22,22,2
"9546",7066,189163,155122,53,58,"right","medium","low",35,54,51,39,52,43,32,26,36,31,68,69,67,69,67,52,71,56,62,46,60,37,26,31,38,31,33,42,1,22,36,22,22,2
"9547",14394,51887,37466,71,71,"right","medium","low",68,70,76,70,72,70,69,76,65,71,68,64,77,65,60,73,71,68,55,70,42,31,76,63,74,41,25,38,9,14,15,12,5,4
"9548",14395,51887,37466,71,71,"right","medium","low",68,70,76,70,72,70,69,76,65,71,68,64,77,65,60,73,71,68,55,70,42,31,76,63,74,41,25,38,9,14,15,12,5,4
"9549",5929,142385,68839,62,62,"right","medium","low",60,62,54,63,65,58,59,59,63,62,68,54,62,58,79,67,81,64,66,68,61,65,61,68,63,54,60,61,14,9,13,15,7,1
"9550",5930,142385,68839,63,63,"right","medium","low",61,62,54,64,65,58,59,59,64,63,68,54,62,58,79,67,81,64,66,68,61,65,63,71,63,55,61,62,14,9,13,15,7,1
"9551",5931,142385,68839,64,64,"right","medium","low",61,62,54,64,65,58,59,59,64,63,68,66,62,58,79,67,81,64,66,68,61,65,63,71,63,55,61,62,14,9,13,15,7,1
"9552",1253,112392,25571,73,73,"right","medium","low",64,67,61,76,67,72,65,71,68,80,68,64,57,72,74,81,62,55,92,74,71,55,69,80,77,44,63,58,8,16,12,11,12,4
"9553",1254,112392,25571,73,73,"right","medium","low",64,67,61,76,67,72,65,71,68,80,68,64,57,72,74,81,62,55,92,74,71,55,69,80,77,44,63,58,8,16,12,11,12,4
"9554",20817,134957,34947,71,78,"right","medium","low",60,72,72,66,79,71,70,70,55,73,68,65,65,60,75,80,74,54,71,68,55,42,75,75,76,29,28,25,6,8,11,5,11,4
"9555",3561,187338,119305,64,68,"right","medium","low",49,67,61,61,64,59,48,49,38,61,68,67,65,61,61,69,73,68,65,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9556",3562,187338,119305,64,69,"right","medium","low",49,67,61,61,64,59,48,49,38,61,68,67,65,61,61,69,73,68,65,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9557",3563,187338,119305,66,72,"right","medium","low",49,67,61,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,71,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9558",3564,187338,119305,66,72,"right","medium","low",49,67,61,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,71,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9559",3565,187338,119305,65,72,"right","medium","low",49,67,61,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9560",3566,187338,119305,65,72,"right","medium","low",49,67,61,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9561",3567,187338,119305,65,71,"right","medium","low",49,67,61,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9562",3568,187338,119305,65,71,"right","medium","low",49,67,61,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9563",3569,187338,119305,65,71,"right","medium","low",49,67,61,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9564",3570,187338,119305,66,71,"right","medium","low",49,67,68,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9565",3571,187338,119305,66,75,"right","medium","low",49,67,68,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,25,25,25,11,7,9,10,5,4
"9566",3572,187338,119305,66,75,"right","medium","low",49,67,68,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,15,25,19,11,7,9,10,5,4
"9567",3573,187338,119305,66,75,"right","medium","low",49,67,68,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,15,25,19,11,7,9,10,5,4
"9568",3574,187338,119305,67,75,"right","medium","low",49,67,72,61,66,59,48,49,38,68,68,67,65,64,61,69,74,68,68,59,44,24,68,59,57,15,25,19,11,7,9,10,5,4
"9569",18537,159145,26344,77,77,"right","medium","low",60,79,80,70,78,68,60,61,45,74,68,73,59,75,42,83,73,70,81,74,51,37,78,68,82,38,31,34,13,10,8,8,12,4
"9570",18538,159145,26344,78,78,"right","medium","low",60,82,78,70,78,68,60,61,45,76,68,73,59,75,42,83,73,70,81,74,51,37,78,68,82,38,31,34,13,10,8,8,12,4
"9571",1866,200223,209372,74,80,"right","medium","low",79,66,46,77,77,74,76,75,73,82,68,74,80,74,80,74,53,69,44,70,59,58,69,73,59,45,56,52,15,7,7,11,8,4
"9572",19709,166074,210065,64,72,"right","medium","low",45,66,65,59,55,60,51,47,52,60,68,69,64,66,67,67,64,65,74,46,61,19,68,59,50,13,21,17,14,6,7,6,10,4
"9573",19710,166074,210065,64,72,"right","medium","low",45,66,65,59,55,60,51,47,52,60,68,69,64,66,67,67,64,65,74,46,61,19,68,59,50,13,21,17,14,6,7,6,10,4
"9574",9449,188417,141662,69,69,"right","medium","low",67,61,69,71,62,74,72,65,70,75,68,68,72,69,71,68,62,69,57,62,57,60,66,71,59,42,53,46,8,8,6,11,13,4
"9575",9450,188417,141662,69,69,"right","medium","low",67,61,69,71,62,74,72,65,70,75,68,68,72,69,71,68,62,69,57,62,57,60,66,71,59,42,53,46,8,8,6,11,13,4
"9576",11937,190097,150746,60,63,"left","medium","low",52,59,57,55,58,68,61,58,53,69,68,70,74,62,65,66,72,60,72,64,52,24,58,43,55,22,31,33,10,9,6,9,15,4
"9577",11938,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9578",11939,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9579",11940,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9580",11941,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9581",11942,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9582",11943,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9583",11944,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9584",11945,190097,150746,60,63,"left","medium","low",52,59,57,55,58,70,61,58,53,69,68,70,74,62,65,66,72,60,72,64,47,24,58,43,55,22,31,33,10,9,6,9,15,4
"9585",13208,172768,23629,71,74,"left","medium","low",74,73,58,74,54,73,60,71,68,72,68,71,67,65,73,68,63,73,64,70,55,55,65,70,75,53,60,55,15,13,6,15,7,4
"9586",5780,215716,351860,74,85,"right","medium","low",28,78,78,63,71,66,38,42,42,70,68,71,58,73,48,81,77,61,81,73,71,22,74,63,58,25,23,25,14,11,5,6,12,4
"9587",7515,162223,27306,74,77,"right","medium","low",70,67,58,75,68,76,72,65,67,76,68,68,78,74,83,73,64,66,64,70,55,52,70,76,58,25,21,24,10,13,5,6,6,4
"9588",9451,188417,141662,68,68,"right","medium","low",66,60,68,70,61,73,71,64,69,74,68,68,72,68,71,67,62,69,57,61,56,59,65,70,58,41,52,45,7,7,5,10,12,4
"9589",9452,188417,141662,68,68,"right","medium","low",63,60,68,70,61,73,71,64,69,74,68,68,72,68,71,67,62,69,57,61,56,59,65,70,58,41,52,45,7,7,5,10,12,4
"9590",9453,188417,141662,67,67,"right","medium","low",69,60,68,70,61,73,71,64,67,74,68,68,72,68,71,67,62,69,57,61,56,59,65,66,58,41,49,45,7,7,5,10,12,4
"9591",9454,188417,141662,67,67,"right","medium","low",69,60,68,70,61,73,71,64,67,74,68,68,72,68,71,67,62,69,57,61,56,59,65,66,58,41,49,45,7,7,5,10,12,4
"9592",9457,188417,141662,67,67,"right","medium","low",69,67,57,70,61,67,71,64,67,74,68,65,69,67,63,67,62,64,57,61,56,48,66,63,58,41,46,45,7,7,5,10,12,4
"9593",9458,188417,141662,67,67,"right","medium","low",69,67,57,70,61,67,71,64,67,74,68,65,69,67,67,67,62,64,50,61,56,48,66,63,58,41,46,45,7,7,5,10,12,4
"9594",9459,188417,141662,67,71,"right","medium","low",69,67,57,70,61,67,71,64,67,74,68,65,69,67,67,67,62,64,50,61,56,48,66,63,58,41,46,45,7,7,5,10,12,4
"9595",13135,53384,17866,74,82,"left","medium","low",82,70,41,76,65,77,82,79,73,76,68,67,63,70,69,78,42,60,66,77,62,40,71,83,71,40,57,42,11,10,5,7,14,4
"9596",13136,53384,17866,74,82,"left","medium","low",82,70,41,76,65,77,82,79,73,76,68,67,63,70,69,78,42,60,66,77,62,40,71,83,71,40,57,42,11,10,5,7,14,4
